电影名称,评分,类型,制片国家/地区,时间,票房
恶人报喜 惡人谷,5.0,喜剧,中国香港/中国大陆,2016年1月23日,2742万
一切都好,6.5,剧情 / 家庭,中国大陆,2016年1月1日,2472万
地心营救 The 33,7.5,剧情 / 传记 / 历史,美国/智利,2016年3月4日,2335万
勇士之门,3.5,奇幻 / 冒险,中国大陆/法国,2016年11月18日,2269万
蜡笔小新：梦境世界大突击 クレヨンしんちゃん 爆睡!ユメミーワールド大突撃,7.3,喜剧 / 动画,日本,2016年11月4日,2234万
冒牌卧底,4.0,喜剧 / 犯罪 / 冒险,中国大陆,2016年12月29日,2118万
暗杀游戏 Мафия: Игра на выживание,3.7,动作 / 科幻 / 惊悚,俄罗斯,2016年10月14日,2102万
一句顶一万句,6.3,剧情 / 爱情 / 家庭,中国大陆/中国香港,2016年11月4日,2083万
战狼2,7.1,动作 / 战争,中国大陆,2017年7月27日,56.7647亿
速度与激情8 The Fate of the Furious,7.1,动作 / 犯罪,中国大陆/美国/日本,2017年4月14日,26.7078亿
羞羞的铁拳,6.8,喜剧 / 奇幻,中国大陆,2017年9月30日,22.0032亿
前任3：再见前任,5.6,喜剧 / 爱情,中国大陆,2017年12月29日,19.4031亿
功夫瑜伽,5.0,喜剧 / 动作 / 冒险,中国大陆/印度,2017年1月28日,17.5331亿
变形金刚5：最后的骑士 Transformers: The Last Knight,4.9,动作 / 科幻,美国/中国大陆/加拿大/墨西哥,2017年6月23日,15.5124亿
芳华,7.7,剧情 / 历史 / 战争,中国大陆,2017年12月15日,14.2234亿
摔跤吧！爸爸 Dangal,9.0,剧情 / 传记 / 运动 / 家庭,印度,2017年5月5日,12.9907亿
寻梦环游记 Coco,9.1,喜剧 / 动画 / 奇幻 / 音乐,美国,2017年11月24日,12.1162亿
加勒比海盗5：死无对证 Pirates of the Caribbean: Dead Men Tell No Tales,7.2,动作 / 奇幻 / 冒险,美国,2017年5月26日,11.799亿
金刚：骷髅岛 Kong: Skull Island,6.5,动作 / 奇幻 / 冒险,美国/中国大陆,2017年3月24日,11.4965亿
生化危机：终章 Resident Evil: The Final Chapter,6.5,动作 / 科幻 / 恐怖,美国/德国/法国/加拿大/南非/澳大利亚/英国/日本/中国大陆,2017年2月24日,11.1235亿
乘风破浪,6.8,剧情 / 喜剧,中国大陆,2017年1月28日,10.4913亿
神偷奶爸3 Despicable Me 3,6.8,喜剧 / 动画 / 冒险,美国,2017年7月7日,10.3672亿
蜘蛛侠：英雄归来 Spider-Man: Homecoming,7.3,动作 / 科幻 / 冒险,美国,2017年9月8日,7.7413亿
雷神3：诸神黄昏 Thor: Ragnarok,7.4,动作 / 奇幻 / 冒险,美国,2017年11月3日,7.4302亿
猩球崛起3：终极之战 War for the Planet of the Apes,6.9,剧情 / 动作 / 科幻,美国,2017年9月15日,7.3978亿
大闹天竺,3.7,喜剧 / 动作 / 冒险,中国大陆,2017年1月28日,7.3228亿
悟空传,5.1,剧情 / 动作 / 奇幻,中国大陆,2017年7月13日,6.9649亿
正义联盟 Justice League,6.3,动作 / 科幻 / 奇幻 / 冒险,美国,2017年11月17日,6.899亿
银河护卫队2 Guardians of the Galaxy Vol. 2,8.0,动作 / 科幻 / 冒险,美国,2017年5月5日,6.8521亿
新木乃伊 The Mummy,4.8,动作 / 奇幻 / 冒险,美国/中国大陆/日本,2017年6月9日,6.256亿
一条狗的使命 A Dog&#39;s Purpose,7.7,剧情 / 喜剧 / 家庭,美国,2017年3月3日,6.0781亿
神奇女侠 Wonder Woman,7.1,动作 / 奇幻 / 冒险,美国/中国大陆/中国香港,2017年6月2日,5.9988亿
美女与野兽 Beauty and the Beast,7.1,爱情 / 奇幻 / 歌舞,美国,2017年3月17日,5.9177亿
追龙 追龍,7.2,动作 / 犯罪,中国香港/中国大陆,2017年9月30日,5.7321亿
英伦对决 The Foreigner,7.0,动作 / 犯罪,英国/中国大陆/美国,2017年9月30日,5.3555亿
三生三世十里桃花,4.0,爱情 / 奇幻,中国大陆,2017年8月3日,5.344亿
妖猫传,6.9,剧情 / 悬疑 / 奇幻 / 古装,中国大陆/日本,2017年12月22日,5.2944亿
熊出没·奇幻空间,6.4,儿童 / 动画,中国大陆,2017年1月28日,5.2278亿
杀破狼·贪狼 殺破狼‧貪狼,7.0,剧情 / 动作,中国香港/中国大陆,2017年8月17日,5.2126亿
星球大战外传：侠盗一号 Rogue One: A Star Wars Story,7.3,动作 / 科幻 / 冒险,美国,2017年1月6日,4.7833亿
王牌特工2：黄金圈 Kingsman: The Golden Circle,6.8,喜剧 / 动作 / 冒险,英国/美国,2017年10月20日,4.7238亿
缝纫机乐队,6.6,喜剧 / 音乐,中国大陆,2017年9月29日,4.5433亿
全球风暴 Geostorm,5.9,动作 / 科幻 / 灾难,美国,2017年10月27日,4.3215亿
星际特工：千星之城 Valérian and the City of a Thousand Planets,6.9,动作 / 科幻 / 冒险,法国/中国大陆/比利时/德国/阿联酋/美国/加拿大/新西兰/新加坡/英国/泰国,2017年8月25日,4.0888亿
建军大业,6.3,剧情 / 犯罪 / 悬疑,中国大陆,2017年3月31日,3.98亿
拆弹专家,6.2,动作 / 犯罪 / 悬疑,中国大陆/中国香港,2017年4月28日,3.9108亿
妖铃铃,4.2,喜剧 / 惊悚,中国大陆,2017年12月29日,3.6191亿
敦刻尔克 Dunkirk,8.4,剧情 / 历史 / 战争,英国/法国/美国/荷兰,2017年9月1日,3.396亿
空天猎,5.0,剧情 / 动作 / 战争,中国大陆,2017年9月29日,3.1693亿
异形：契约 Alien: Covenant,7.4,科幻 / 恐怖,美国,2017年6月16日,3.0519亿
机器之血,4.6,剧情 / 动作 / 科幻,中国大陆,2017年12月22日,3.0511亿
心理罪,4.9,动作 / 犯罪 / 悬疑,中国大陆,2017年8月11日,3.0304亿
奇门遁甲,4.4,动作 / 奇幻,中国大陆/中国香港,2017年12月14日,2.9937亿
二代妖精之今生有幸,5.5,喜剧 / 爱情 / 奇幻,中国大陆,2017年12月29日,2.9168亿
记忆大师,7.1,悬疑 / 惊悚,中国大陆,2017年4月28日,2.9078亿
太空旅客 Passengers,6.9,冒险 / 科幻,美国,2017年1月13日,2.8393亿
天才枪手 ฉลาดเกมส์โกง,8.2,剧情 / 犯罪 / 悬疑,泰国,2017年10月13日,2.6995亿
绣春刀II：修罗战场,7.2,剧情 / 动作 / 武侠 / 古装,中国大陆,2017年7月19日,2.6401亿
爱乐之城 La La Land,8.4,剧情 / 爱情 / 歌舞,美国,2017年2月14日,2.4775亿
侠盗联盟 俠盜聯盟,5.2,动作 / 冒险,中国大陆/中国香港/捷克,2017年8月11日,2.3556亿
